,INTERACTOR_A,INTERACTOR_B
503,ROR2,ZMYM4
504,ROR2,DAZAP2
505,ROR2,RBPMS
506,ROR2,C1orf94
507,ROR2,PRR20A
508,REL,SZT2
509,TCF4,SZT2
510,GABARAPL2,AHNAK2
511,GABARAPL1,AHNAK2
512,AHNAK,AHNAK
513,AHNAK,NOL9
514,SHMT2,SZT2
515,MOV10,FYCO1
516,MOV10,BCLAF1
517,MOV10,ROR2
518,NXF1,BCLAF1
519,NXF1,ROR2
520,NXF1,AHNAK
521,BRCA1,MSH6
522,CUL7,AHNAK
523,CUL7,BCLAF1
524,CUL7,PLEC
525,CUL7,RIF1
526,OBSL1,AHNAK
527,OBSL1,BCLAF1
528,OBSL1,PLEC
529,OBSL1,RIF1
530,CCDC8,AHNAK
531,CCDC8,PLEC
532,EZH2,PLEC
533,SUZ12,PLEC
534,SUZ12,BCLAF1
535,SUZ12,CDK5RAP2
536,EED,RIF1
537,EED,PLEC
538,RNF2,BCLAF1
539,BMI1,PLEC
540,BMI1,BCLAF1
541,CALM1,PHKB
542,EGFR,BCLAF1
543,FOXRED2,USH2A
544,SUMO2,AHNAK
545,SIRT6,MSH6
546,LUZP4,BCLAF1
547,POLE,POLE2
548,TEX35,PLCD1
549,MED7,MED13
550,FYCO1,CCT7
551,FYCO1,CCT6B
552,FYCO1,CCT6A
553,FYCO1,CCT2
554,FYCO1,CCT3
555,FYCO1,DTNA
556,FYCO1,TCP1
557,FYCO1,MLYCD
558,FYCO1,SASS6
559,KLK11,FRAS1
560,C1QTNF2,SZT2
561,SOCS6,PLEC
562,SOCS6,CDK5RAP2
563,SPIN1,BCLAF1
564,TAZ,FRAS1
565,MLF1,CDK5RAP2
566,NXPH2,FRAS1
567,NXPH2,CELSR2
568,SUSD4,FRAS1
569,USP36,CELSR2
570,KLK5,FRAS1
571,KLK5,CELSR2
572,CCDC101,FYCO1
573,DTWD2,POLE
574,DTWD2,CELSR2
575,ZPBP2,FRAS1
576,CCNC,MED13
577,PRPS1,CDK5RAP2
578,DOK4,PHKB
579,LRRC46,POLE
580,NAALADL2,CELSR2
581,PPP1CC,RIF1
582,PVRIG,FRAS1
583,PYCR2,AHNAK2
584,RAB11B,PLCD1
585,MPPED1,PHKB
586,PPP1CA,RIF1
587,TRUB2,FYCO1
588,PRMT8,BCLAF1
589,CCDC68,FYCO1
590,CCDC68,PLEC
591,PRKAR2B,CDK5RAP2
592,CARD9,CDK5RAP2
593,DDX19B,PLEC
594,TFDP3,PLEC
595,DTNBP1,CDK5RAP2
596,LUC7L,BCLAF1
597,NR1I3,MED13
598,QPCT,FRAS1
599,CSNK2A2,BCLAF1
600,LUC7L2,BCLAF1
601,SNIP1,BCLAF1
602,KPTN,SZT2
603,PTPRK,FRAS1
604,JSRP1,AHNAK2
605,JSRP1,AHNAK
606,DDX39A,CELSR2
607,GFOD1,PLEC
608,CHST8,FRAS1
609,FGL2,CDK5RAP2
610,TGOLN2,POLE
611,C17orf59,CDK5RAP2
612,C17orf59,FYCO1
613,MED19,MED13
614,TNF,CELSR2
615,WNT4,FRAS1
616,LIPH,FRAS1
617,PYHIN1,PLCD1
618,TINAGL1,HSPG2
619,SMARCD1,PLCD1
620,GPHA2,FRAS1
621,TCL1B,MED13
622,LYPD6,CELSR2
623,RBM24,PLCD1
624,TNFAIP8L2,AHNAK2
625,ZFP41,FRAS1
626,CDK8,MED13
627,PILRA,B4GALNT3
628,CDK19,MED13
629,Numb,BCLAF1
630,HIF1A,MED13
631,FBXW7,MED13
632,FBXW7,MED13
633,CEP68,CDK5RAP2
634,AMOT,RIF1
635,PPP1R3A,RIF1
636,RPS6KB2,MSH6
637,S100A10,AHNAK
638,S100A10,AHNAK
639,WHSC1,PLEC
640,HSPB1,ANK1
641,FBXW11,POLE
642,UNK,MSH6
643,UNK,BCLAF1
644,NTRK1,ROR2
645,AHNAK,ACTN4
646,ASNS,AHNAK
647,C14orf166,AHNAK
648,CDC42,AHNAK
649,EEF1B2,AHNAK
650,EEF1D,AHNAK
651,GORASP2,AHNAK
652,GRPEL1,AHNAK
653,HSPA9,AHNAK
654,HSPB1,AHNAK
655,LASP1,AHNAK
656,MYL6,AHNAK
657,OXCT1,AHNAK
658,STMN1,AHNAK
659,TARS,AHNAK
660,DYNC1I2,AHNAK2
661,NAA10,AHNAK2
662,MSH6,ANKRD17
663,AHNAK,ARHGDIA
664,AHNAK,CCT5
665,PHKB,CORO1B
666,PHKB,CORO1C
667,AHNAK,EEF1A1
668,AHNAK,EEF2
669,MED13,EFTUD2
670,MSH6,FEN1
671,AHNAK,FLNB
672,MSH6,HDGF
673,AHNAK,HNRNPAB
674,AHNAK,HNRNPD
675,AHNAK,HNRNPDL
676,AHNAK,HNRNPH1
677,PSAT1,HSPG2
678,MED13,MED1
679,MED13,MED10
680,MED12,MED13
681,MED17,MED13
682,MED24,MED13
683,PRPF8,MED13
684,MED13,MED14
685,MED13,MED16
686,MED13,MED18
687,MED13,MED19
688,MED13,MED27
689,MED13,MED6
690,MED13,MED8
691,RIF1,MRGBP
692,MSH2,MSH6
693,POLE,MSH6
694,PRDX1,MSH6
695,PRDX2,MSH6
696,SMC3,MSH6
697,RIF1,NUDT21
698,POLE,PABPC1
699,POLE,PABPC4
700,MSH6,PCNA
701,C17orf85,PLEC
702,DDX17,PLEC
703,NUP50,PLEC
704,QARS,PLEC
705,EIF4G1,POLE
706,PCNA,POLE
707,PEX19,POLE
708,POLA1,POLE
709,POLE3,POLE
710,POLE4,POLE
711,PSMD11,POLE
712,PSMD4,POLE
713,SMC1A,POLE
714,SSB,POLE
715,POLE,POLE2
716,RIF1,PPP2R1A
717,AHNAK,PSME3
718,MSH6,RAD21
719,MED13,RANBP2
