,INTERACTOR_A,INTERACTOR_B
536,ATM,TP53
537,MYC,POLE
538,RYK,PTK7
539,PCNA,POLE
540,AGO3,FLNA
541,ATM,SMC1A
542,TJP1,FLNA
543,TJP1,PLEC
544,YWHAQ,CACNA1S
545,YWHAQ,MYH11
546,MME,ATP12A
547,NPM1,USP36
548,USP36,NPM1
549,USP36,NPM1
550,CACNA1A,HSPG2
551,HDAC5,NUMA1
552,HDAC5,FLNA
553,ATM,TP53
554,ATM,DYRK2
555,ATM,TRAF6
556,AI837181,AHNAK
557,Tpr,AHNAK
558,ATM,ATM
559,Ccdc15,AHNAK
560,Atm,ATM
561,Cdk1,AHNAK
562,Ranbp2,NUMA1
563,Csnk1e,AHNAK
564,SIRT1,LAMA3
565,PTEN,FBN2
566,ESR1,KMT2D
567,ESR1,KMT2D
568,ASH2L,KMT2D
569,KMT2D,RBBP5
570,KMT2D,ASH2L
571,KMT2D,WDR5
572,RBBP5,KMT2D
573,KMT2D,ASH2L
574,USP36,SOD2
575,USP36,SOD2
576,SOD2,USP36
577,ATM,TCL1A
578,TCL1A,ATM
579,ATM,CHEK2
580,WDR48,FANCI
581,FANCI,WDR48
582,CALM1,DST
583,CDC5L,PDE4DIP
584,CDC5L,DST
585,DISC1,DST
586,DTNBP1,DST
587,CEP63,DST
588,TRAF3IP1,DST
589,EXOC1,DST
590,SH3BP5,DST
591,TNIK,DST
592,TNIK,PDE4DIP
593,OSGEP,PDE4DIP
594,GADD45G,PDE4DIP
595,NEK2,PDE4DIP
596,CSNK2B,ADD1
597,SNCA,PDE4DIP
598,FES,PDE4DIP
599,TK1,ADD1
600,TK1,PDE4DIP
601,FHL1,PDE4DIP
602,CDKN1A,PDE4DIP
603,MAP1LC3B,ADD1
604,GEMIN7,ADD1
605,UBE2D3,FOCAD
606,LAMTOR3,PDE4DIP
607,KRAS,PDE4DIP
608,SMN1,PDE4DIP
609,IMMT,PDE4DIP
610,PFDN1,PDE4DIP
611,SVIL,FLNA
612,Nedd4,ACAN
613,PIDD1,FANCI
614,JMJD6,PHRF1
615,SMARCAD1,NUMA1
616,SMARCAD1,MDN1
617,NEDD4,SULF1
618,NBN,ATM
619,NBN,ATM
620,XRS2,ATM
621,ATM,NBN
622,ATM,MRE11A
623,NBN,ATM
624,XRCC5,ATM
625,ATRIP,ATM
626,ATRIP,ATM
627,ATM,NBN
628,NBN,ATM
629,MCPH1,H2AFX
630,CHD1L,PARP1
631,KDM4B,KMT2D
632,KDM4B,KMT2D
633,KMT2D,KDM4B
634,KDM4B,KMT2D
635,KMT2D,ESR1
636,ESR1,KMT2D
637,RAD21,FOCAD
638,RAD21,PDZD2
639,ATM,KAT5
640,ATM,RNF20
641,ATM,RNF40
642,RNF40,ATM
643,ATM,RNF40
644,ATM,RNF20
645,ATM,RNF40
646,ATM,RNF20
647,MADD,VPS13D
648,NRXN1,PDZD2
649,CELSR3,DST
650,KIAA1549,DST
651,TELO2,ATM
652,ATM,TELO2
653,ATM,TERF1
654,EIF3E,ATM
655,ATM,EIF3E
656,ATM,EIF3E
657,SKP2,ATM
658,NBN,ATM
659,ATM,NBN
660,ATF2,ATM
661,ATM,KAT5
662,KAT5,ATM
663,MDC1,ATM
664,ATM,MDC1
665,ITSN2,PDE4DIP
666,ITSN2,DST
667,ITSN2,AHDC1
668,ELAVL1,ATM
669,ELAVL1,PDE4DIP
670,ELAVL1,SLC25A23
671,ARRB1,DGKG
672,ARRB1,FLNA
673,ARRB2,FLNA
674,KMT2D,WDR5
675,SIRT7,FLNA
676,SIRT7,PLEC
677,SIRT7,HEATR1
678,SIRT7,NUMA1
679,SIRT7,MDN1
680,SIRT7,AHNAK
681,SIRT7,CUL9
682,SIRT7,DST
683,SIRT7,PHRF1
684,SIRT7,FANCI
685,SIRT7,POLE
686,SIRT7,ATM
687,PRKAA2,NRAP
688,PRKAB2,DST
689,TRAF4,PDE4DIP
690,SP1,MYH11
691,SP1,PLEC
692,WDR5,KMT2D
693,WDR5,KMT2D
694,KMT2D,HIST2H3C
695,MCPH1,CHD4
696,CHD4,MCPH1
697,POLE2,POLE
698,POLE2,POLE
699,POLE3,POLE
700,POLD4,POLE
701,POLE,GINS4
702,H2AFX,ATM
703,ATM,KAT5
704,BMI1,ATM
705,H2AFX,ATM
706,ATM,IKBKG
707,IKBKG,ATM
708,ISG15,AHNAK
709,ISG15,FLNA
710,ISG15,PLEC
711,FBXO25,MYH11
712,FANCD2,FANCI
713,CUL7,CUL9
714,TP53,CUL9
715,CUL9,TP53
716,CUL9,RBX1
717,RBX1,CUL9
718,MAP3K7,ATM
719,TERF1,NUMA1
720,TERF2IP,NUMA1
721,POT1,MADD
722,POT1,AHNAK
723,TERF2,NUMA1
724,ASB2,FLNA
725,FANCI,FANCL
726,FLNA,ASB2
727,DST,KIAA0368
728,PPP1CA,ATM
729,PPP1CC,ATM
730,CUL9,RBX1
731,RBX1,CUL9
732,CUL9,CUL7
733,CUL7,CUL9
734,CUL9,CUL7
735,CUL9,TP53
736,CUL9,RBX1
737,CUL9,TP53
738,TP53,CUL9
739,CUL9,CUL7
740,CUL7,CUL9
741,SLC12A3,KLHL3
742,CUL3,PLEC
743,CUL3,FANCI
744,CUL3,FLNA
745,CUL3,SLC25A23
746,CUL3,AGL
747,CUL4B,AGL
748,CUL5,AGL
749,CUL2,AGL
750,CDK2,FLNA
751,CDK2,AHNAK
752,CDK2,PLEC
753,CDK2,NUMA1
754,CUL1,AGL
755,COPS5,AGL
756,COPS5,DCHS2
757,COPS5,PHRF1
758,COPS5,TYRO3
759,DCUN1D1,AGL
760,Asap1,PDE4DIP
761,STAB1,GGA1
762,STAB1,GGA2
763,STAB1,GGA3
764,OBSCN,ANK1
765,KCTD6,OBSCN
766,LNX1,TYRO3
767,FLNA,LMNA
768,PRNP,PLK3
769,PRNP,PDE4DIP
770,PRNP,PLK3
771,PLK3,PRNP
772,CUL9,TP53
773,CUL9,TP53
774,SHBG,FLNA
775,TRAF2,PEG3
776,TRAF2,PEG3
777,EMILIN1,NUMA1
778,EMILIN1,NUMA1
779,EMILIN1,NUMA1
780,NUMA1,EMILIN1
781,EMILIN1,NUMA1
782,MYOC,MYH11
783,ATM,BRAT1
784,ATM,PPP2R4
785,MCPH1,CDC27
786,CDC27,MCPH1
787,MCPH1,CDC27
788,ATM,VPRBP
789,ATM,H2AFX
790,Mdm2,POLE
791,ATM,BRCA1
792,ATM,BRCA1
793,ATM,BRCA1
794,DCLRE1C,ATM
795,ATM,DCLRE1C
796,ATM,DCLRE1C
797,MEN1,KMT2D
798,MEN1,KMT2D
799,KMT2D,MEN1
800,CUL9,TP53
801,FLNA,KCND2
802,FLNA,KCNE4
803,KCNE4,FLNA
804,RBBP8,ATM
805,ATM,TOPBP1
806,RAE1,NUMA1
807,NUMA1,RAE1
808,NUMA1,NUP98
809,NUMA1,DYNLL1
810,NUMA1,RAE1
811,UBQLN4,ITPRIPL1
812,ATN1,HSPG2
813,ATXN1,AHDC1
814,GFI1B,HSPG2
815,GFI1B,PDE4DIP
816,USP7,PEG3
817,PLK3,AURKA
818,PLK3,BUB1B
819,PLK3,BUB1B
820,ARRB2,FLNA
821,LRRK2,MDN1
822,LRRK2,PLEC
823,MCPH1,E2F1
824,GRK5,MADD
825,ATM,MDM2
826,ATM,CSNK1D
827,ATM,SOCS1
828,ATM,SOCS1
829,GRB2,HSPG2
830,GRB2,AHNAK
831,SHC1,MYH11
