,INTERACTOR_A,INTERACTOR_B
774,CBY1,NAV1
775,SRSF12,NAV1
776,CDC25C,NAV1
777,NAV1,SYDE1
778,MAPKAP1,NAV1
779,NADK,NAV1
780,AGAP1,NAV1
781,GIGYF2,NAV1
782,CDC25B,NAV1
783,IFT27,IFT172
784,INPP5E,NAV1
785,IFT172,IFT46
786,IFT22,IFT172
787,IFT81,IFT172
788,HSPB11,IFT172
789,TTC26,IFT172
790,IFT52,IFT172
791,NUDC,IFT172
792,ICK,IFT172
793,TTC30B,IFT172
794,CYLD,FASN
795,INO80B,SBF1
796,COQ2,PCK2
797,COX15,FASN
798,DLD,FASN
799,DLST,FASN
800,DNM1L,FASN
801,HSD17B10,FASN
802,PDHA1,FASN
803,SDHA,FASN
804,TRIM25,HSPG2
805,TRIM25,LRP5
806,TRIM25,MROH7-TTC4
807,VHL,FASN
808,VHL,FASN
809,FASN,VHL
810,CAD,FASN
811,FASN,HIF1A
812,VHL,FASN
813,UBE2A,OBSCN
814,BRCA1,FASN
815,TES,PCK2
816,HDAC6,FASN
817,OBSCN,TTN
818,TTN,OBSCN
819,HNRNPL,LRP5
820,HNRNPL,PDZD2
821,HNRNPL,OBSCN
822,HNRNPL,NAV1
823,CFTR,MYH4
824,CFTR,FASN
825,PEF1,FASN
826,KIAA1715,FASN
827,CLEC14A,HSPG2
828,ZNF598,FASN
829,FBXO7,FASN
830,EGLN3,FASN
831,RMND5A,FASN
832,EGLN3,IFT172
833,EGLN3,SBF1
834,TMPO,FASN
835,WDR77,HMCN1
836,HSPA8,FASN
837,BRAF,FASN
838,DDX39B,FASN
839,JUP,FASN
840,PPP6C,FASN
841,KIFAP3,NAV1
842,HIF1A,FASN
843,LRP6,LRP5
844,LRP5,LRP6
845,UBE2M,FASN
846,PYHIN1,HSPG2
847,PRPF8,FASN
848,EFTUD2,FASN
849,AAR2,FASN
850,PIH1D1,FASN
851,EFTUD2,NAV1
852,TNIP2,FASN
853,TNIP2,LRP5
854,RNF4,FASN
855,RNF31,ADAMTSL4
856,AMMECR1,ADAMTSL4
857,LHX4,ADAMTSL4
858,HNRNPLL,ADAMTSL4
859,CDC34,FASN
860,CDC34,PCK2
861,FAM188B,IFT172
862,SPDL1,FASN
863,RIOK1,FASN
864,ZUFSP,FASN
865,FGF11,FASN
866,ESR2,FASN
867,ESR2,PPL
868,ESR2,SBF1
869,HEXIM1,FASN
870,RNF123,MYH4
871,RNF123,DNAH3
872,RNF123,FAT4
873,RNF123,OBSCN
874,PPT1,FASN
875,SNAI1,FASN
876,AGR2,FASN
877,AGR2,FASN
878,HRAS,SBF1
879,KRAS,SBF1
880,NRAS,SBF1
881,RECQL4,FASN
882,FASN,CAV1
883,CAV1,FASN
884,FASN,CAV1
885,ANK1,OBSCN
886,OBSCN,ANK1
887,OBSCN,ANK1
888,MYC,PCK2
889,MYC,SBF1
890,MYC,FASN
891,RNF41,NAV1
892,RNF41,NAV1
893,HRAS,NAV1
894,ANK1,OBSCN
895,OBSCN,ANK1
896,ANK1,OBSCN
897,LAMP1,SBF1
898,HSPD1,PCK2
899,TOMM20,PCK2
900,MAPRE1,NAV1
901,MAPRE1,NAV1
902,GRWD1,FASN
903,KRT17,FASN
904,KIAA1429,FAT4
905,KIAA1429,PDZD2
906,KIAA1429,NAV1
907,KIAA1429,OBSCN
908,KIAA1429,PPL
909,KIAA1429,HSPG2
910,KIAA1429,LYST
911,KIAA1429,FASN
912,KIAA1429,LRP5
913,KIAA1429,TNC
914,METTL3,FASN
915,KIAA1429,FASN
916,USP18,FASN
917,ANAPC4,LYST
918,ACTC1,FASN
919,ZBTB7A,FASN
920,PHB,FASN
921,CCND1,FASN
922,USP14,OBSCN
923,USP14,FASN
924,NR2C2,FASN
925,NR2C2,PCK2
926,UCHL3,FASN
927,PPP1CC,NAV1
928,MTDH,FASN
929,MTDH,OBSCN
930,MTDH,HSPG2
931,MTDH,LRP5
932,HDAC2,PCK2
933,HDAC2,HSPG2
934,CSK,MASP1
935,RPS6KA2,SBF1
936,GBF1,FASN
937,DCAF15,FASN
938,DCAF15,OBSCN
939,BMH2,FASN
940,BMH1,FASN
941,NHLRC2,PPL
942,MAPT,MASP1
943,MAPT,MASP1
944,ATXN3,FASN
945,OBSCN,ACOT13
946,ACP2,FASN
947,ANXA5,PCK2
948,CCS,PCK2
949,GMPS,PCK2
950,GSTO1,PCK2
951,HSD17B7,PCK2
952,HSP90AA1,FASN
953,PCK2,ACSF2
954,PCK2,APOA1BP
955,PMPCB,PCK2
956,PPA1,PCK2
957,PDZD2,RAB11FIP5
958,DYRK1A,PPL
959,BCL2L14,PCK2
960,IRF7,FASN
961,NT5C3A,PCK2
962,NCF1,FASN
963,P2RY6,PCK2
964,CUL4A,HSPG2
965,DUPD1,FASN
966,DUSP13,FASN
967,DUSP23,FASN
968,DUSP3,FASN
969,CDC14A,IFT172
970,STYXL1,PPL
971,MTMR2,SBF1
972,ITFG1,FASN
973,GSK3B,FASN
974,CYLD,FASN
975,MTMR2,SBF1
976,SBF1,COL1A2
977,SBF1,MTMR1
978,SBF1,MTMR2
979,SBF1,WDR55
980,SBF1,SUPT16H
981,SBF1,GLUD2
982,SBF1,PRKACA
983,SBF1,ZNHIT1
984,SBF1,RPAP3
985,SBF1,TLE1
986,SBF1,SSRP1
987,SBF1,ACIN1
988,SBF2,SBF1
989,FASN,SPOP
990,SPOP,FASN
991,CLUAP1,IFT172
992,IFT20,IFT172
993,ANO7,FASN
994,BIRC3,FASN
995,LMBR1L,FASN
996,LMBR1L,PCK2
997,PGRMC1,PCK2
998,FAT4,USP51
999,USP51,FAT4
1000,WWP2,FASN
1001,UBC,FASN
1002,TRIM28,PCK2
1003,TRIM28,FASN
1004,SQSTM1,TNC
1005,ATXN1,OBSCN
1006,HTT,FASN
1007,PARK2,FASN
1008,ZNF263,PPL
1009,MYLIP,ADAMTSL4
1010,TFAP2D,ADAMTSL4
1011,ALAS1,PPL
1012,HOXC8,ADAMTSL4
1013,POLD1,ADAMTSL4
1014,LNX1,ADAMTSL4
1015,LNX1,FASN
1016,EXOSC5,ADAMTSL4
1017,RUNX1T1,ADAMTSL4
1018,MID2,ADAMTSL4
1019,GSTP1,ADAMTSL4
1020,ZNF213,PPL
1021,CHERP,ADAMTSL4
1022,EPDR1,ADAMTSL4
1023,MRPL28,PPL
1024,CHRD,ADAMTSL4
1025,KRT31,NAV1
1026,UPRT,PPL
1027,PCSK5,ADAMTSL4
1028,HSD3B7,ADAMTSL4
1029,PICK1,PPL
1030,JOSD1,ADAMTSL4
1031,ACTR5,PPL
1032,QPRT,ADAMTSL4
1033,KCTD9,ADAMTSL4
1034,TGFB1,ADAMTSL4
1035,PBX4,PPL
1036,HOXA1,ADAMTSL4
1037,NUFIP2,ADAMTSL4
1038,CHIC2,ADAMTSL4
1039,ZNF330,ADAMTSL4
1040,PTPMT1,ADAMTSL4
1041,RSRC2,NAV1
1042,MAGOHB,ADAMTSL4
1043,PLSCR4,ADAMTSL4
1044,OTX1,ADAMTSL4
1045,STK16,ADAMTSL4
1046,PPL,POF1B
1047,PPL,HECTD3
1048,PPL,TRAF2
1049,PPL,RAB3IP
1050,PPL,KNSTRN
1051,PPL,ZSCAN1
