,INTERACTOR_A,INTERACTOR_B
709,LZTR1,HDAC4
710,HDAC4,SS18L1
711,SP1,HDAC4
712,HDAC4,SP1
713,HDAC4,REST
714,HDAC4,SIN3A
715,HDAC4,MARK3
716,HDAC4,HIF1A
717,GATA3,HDAC4
718,YY1,HDAC4
719,HDAC4,CAMK2D
720,HDAC4,CAMK2D
721,CAMK2D,HDAC4
722,HDAC4,CAMK1
723,SP1,HDAC4
724,GCM1,HDAC4
725,HDAC4,GCM1
726,MEF2A,HDAC4
727,HDAC4,MEF2D
728,HDAC4,NUP214
729,YY1,HDAC4
730,HDAC3,HDAC4
731,HDAC4,YY1
732,HDAC4,DNAJB5
733,SYK,HDAC4
734,HDAC4,ESCO2
735,MGMT,CDKL5
736,MGMT,EEF1A2
737,HDAC4,GNB1
738,HDAC4,GNB1
739,CTNNB1,HDAC4
740,MEF2C,HDAC4
741,HDAC4,TP53BP1
742,TP53BP1,HDAC4
743,SRF,HDAC4
744,SRF,HDAC4
745,HDAC4,SRF
746,HDAC4,UBE2I
747,UBE2I,HDAC4
748,MEF2D,HDAC4
749,SIRT1,HDAC4
750,SRRM2,EEF1A2
751,LCOR,HDAC4
752,NCOR2,HDAC4
753,HDAC4,HNF4A
754,MEF2C,HDAC7
755,NCOA2,MEF2C
756,MEF2C,NCOA2
757,CDKN1A,HDAC4
758,RANBP2,HDAC4
759,WWOX,CPSF6
760,ESR1,HDAC4
761,HDAC4,ESR1
762,HDAC4,ESR1
763,ESR1,HDAC4
764,SMAD3,HDAC4
765,SMAD3,HDAC4
766,HDAC4,MEF2C
767,HDAC4,YWHAQ
768,HDAC4,ANKRA2
769,HDAC4,ATRX
770,HDAC4,REV3L
771,HDAC4,MAP1S
772,HDAC4,ANKRA2
773,HDAC4,RFXANK
774,HDAC4,RFXANK
775,HDAC4,CIITA
776,CIITA,HDAC4
777,RFX5,HDAC4
778,RFXAP,HDAC4
779,BLM,SYN1
780,IFRD1,MEF2C
781,MYOD1,MEF2C
782,MEF2C,IFRD1
783,MEF2C,HDAC4
784,MEF2C,IFRD1
785,IFRD1,HDAC4
786,HDAC4,PPP2CA
787,RUNX2,HDAC4
788,HDAC4,NFKBIA
789,NFKBIE,HDAC4
790,HDAC4,HDAC4
791,HDAC5,HDAC4
792,HDAC4,HDAC5
793,HDAC4,MEF2C
794,CAMK4,HDAC4
795,HDAC4,YWHAQ
796,CSRP3,HDAC4
797,HDAC4,CSRP3
798,PML,HNRNPU
799,RARA,HNRNPU
800,MEF2C,HDAC4
801,MEF2C,HDAC5
802,MEF2C,HDAC7
